"","type","status","purpose","info","name","PltLink","country","x","y"
"1","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",370869,"http://www.emodnet-physics.eu/map/spi.aspx?id=370869","France",-1.32781,45.9136
"2","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS","Sea Level,Atmospheric","Shom - France",8654,"http://www.emodnet-physics.eu/map/spi.aspx?id=8654","France",-1.17434,46.0074
"3","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS","Sea Level,Atmospheric","Shom - France",8710,"http://www.emodnet-physics.eu/map/spi.aspx?id=8710","France",-1.2259,46.1487
"4","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",370015,"http://www.emodnet-physics.eu/map/spi.aspx?id=370015","France",-1.17782,45.8534
"5","EP_PLATFORMS_SLEV","AtlantOS,SONEL Tide Gauge","Sea Level","Not Defined",364966,"http://www.emodnet-physics.eu/map/spi.aspx?id=364966","Other",-1.17433,46.0074
"6","EP_PLATFORMS_SLEV","AtlantOS,SONEL Tide Gauge","Sea Level","Not Defined",364971,"http://www.emodnet-physics.eu/map/spi.aspx?id=364971","Other",-1.31639,46.335
"7","EP_PLATFORMS_SLEV","AtlantOS,SONEL Tide Gauge","Sea Level","Not Defined",364974,"http://www.emodnet-physics.eu/map/spi.aspx?id=364974","Other",-1.32781,45.9136
"8","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS","Sea Level","Shom - France",366243,"http://www.emodnet-physics.eu/map/spi.aspx?id=366243","France",-1.32781,45.9136
"9","EP_PLATFORMS_SLEV","AtlantOS,IOC","Sea Level","Shom - France",366869,"http://www.emodnet-physics.eu/map/spi.aspx?id=366869","France",-1.22065,46.1585
"10","EP_PLATFORMS_SLEV","AtlantOS,IOC","Sea Level","Shom - France",366870,"http://www.emodnet-physics.eu/map/spi.aspx?id=366870","France",-1.22065,46.1585
"11","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS","Sea Level","Shom - France",366265,"http://www.emodnet-physics.eu/map/spi.aspx?id=366265","France",-1.31639,46.335
"12","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level,Atmospheric","Shom - France",368100,"http://www.emodnet-physics.eu/map/spi.aspx?id=368100","France",-1.22065,46.1585
"13","EP_PLATFORMS_SLEV","AtlantOS,SONEL Tide Gauge","Sea Level","Not Defined",364945,"http://www.emodnet-physics.eu/map/spi.aspx?id=364945","Other",-1.17782,45.8534
"14","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",369075,"http://www.emodnet-physics.eu/map/spi.aspx?id=369075","France",-1.32781,45.9136
"15","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",369076,"http://www.emodnet-physics.eu/map/spi.aspx?id=369076","France",-1.31639,46.335
"16","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",369077,"http://www.emodnet-physics.eu/map/spi.aspx?id=369077","France",-1.17782,45.8534
"17","EP_PLATFORMS_SLEV","PSMSL,AtlantOS","Sea Level","Not Defined",12315,"http://www.emodnet-physics.eu/map/spi.aspx?id=12315","Other",-1.22074,46.1585
"18","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",369429,"http://www.emodnet-physics.eu/map/spi.aspx?id=369429","France",-1.17782,45.8534
"19","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS","Sea Level","Shom - France",366206,"http://www.emodnet-physics.eu/map/spi.aspx?id=366206","France",-1.17782,45.8534
"20","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",370048,"http://www.emodnet-physics.eu/map/spi.aspx?id=370048","France",-1.17434,46.0074
"21","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",370049,"http://www.emodnet-physics.eu/map/spi.aspx?id=370049","France",-1.17434,46.0074
"22","EP_PLATFORMS_SLEV","AtlantOS,IOC","Sea Level","Shom - France",366823,"http://www.emodnet-physics.eu/map/spi.aspx?id=366823","France",-1.17424,46.0074
"23","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",369401,"http://www.emodnet-physics.eu/map/spi.aspx?id=369401","France",-1.17434,46.0074
"24","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",369404,"http://www.emodnet-physics.eu/map/spi.aspx?id=369404","France",-1.32781,45.9136
"25","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",369405,"http://www.emodnet-physics.eu/map/spi.aspx?id=369405","France",-1.31639,46.335
"26","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",369408,"http://www.emodnet-physics.eu/map/spi.aspx?id=369408","France",-1.2259,46.1487
"27","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",370057,"http://www.emodnet-physics.eu/map/spi.aspx?id=370057","France",-1.2259,46.1487
"28","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",370058,"http://www.emodnet-physics.eu/map/spi.aspx?id=370058","France",-1.2259,46.1487
"29","EP_PLATFORMS_SLEV","AtlantOS,SONEL Tide Gauge","Sea Level","Not Defined",364977,"http://www.emodnet-physics.eu/map/spi.aspx?id=364977","Other",-1.22074,46.1585
"30","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",370003,"http://www.emodnet-physics.eu/map/spi.aspx?id=370003","France",-1.31639,46.335
"31","EP_PLATFORMS_SLEV","CMEMS INSTAC,AtlantOS,Fixed Moorings","Sea Level","Shom - France",370004,"http://www.emodnet-physics.eu/map/spi.aspx?id=370004","France",-1.31639,46.335
"32","EP_PLATFORMS_WAVE","CMEMS INSTAC,AtlantOS,Drifters","Waves,Water Temperature","CEREMA - Centre Etudes et Expertise sur les Risques  Environnement  Mobilite et Amenagement - France",7336,"http://www.emodnet-physics.eu/map/spi.aspx?id=7336","France",-1.8336,45.9163
"33","EP_PLATFORMS_TEMP","CMEMS INSTAC,AtlantOS,VOS/SOOP","Water conductivity/ BioGeoChemical,Water salinity ,Water Temperature","IFREMER - Institut Français de Recherche pour l'Exploitation de la Mer - France",70548,"http://www.emodnet-physics.eu/map/spi.aspx?id=70548","France",-1.82967,45.7
"34","EP_PLATFORMS_TEMP","CMEMS INSTAC,AtlantOS,Drifters","Currents,Water Temperature","Shom - France",25192,"http://www.emodnet-physics.eu/map/spi.aspx?id=25192","France",-1.6497,45.7758
"35","EP_PLATFORMS_TEMP","CMEMS INSTAC,AtlantOS,Fixed Moorings","Water Temperature,Water conductivity/ BioGeoChemical,Water salinity ","IFREMER - Institut Français de Recherche pour l'Exploitation de la Mer - France",368336,"http://www.emodnet-physics.eu/map/spi.aspx?id=368336","France",-1.40406,46.2251
"36","EP_PLATFORMS_TEMP","CMEMS INSTAC,AtlantOS,Drifters","Currents,Water Temperature","Shom - France",25187,"http://www.emodnet-physics.eu/map/spi.aspx?id=25187","France",-1.325,45.9133
"37","EP_PLATFORMS_TEMP","CMEMS INSTAC,AtlantOS,Drifters","Waves,Water Temperature","CEREMA - Centre Etudes et Expertise sur les Risques  Environnement  Mobilite et Amenagement - France",7336,"http://www.emodnet-physics.eu/map/spi.aspx?id=7336","France",-1.8336,45.9163
"38","EP_PLATFORMS_TEMP","CMEMS INSTAC,AtlantOS,VOS/SOOP","Water salinity ,Water Temperature","Shom - France",360636,"http://www.emodnet-physics.eu/map/spi.aspx?id=360636","France",-1.984,46.1655
"39","EP_PLATFORMS_TEMP","CMEMS INSTAC,AtlantOS,VOS/SOOP","Water salinity ,Water Temperature","Shom - France",360639,"http://www.emodnet-physics.eu/map/spi.aspx?id=360639","France",-1.41567,45.91
"40","EP_PLATFORMS_TEMP","CMEMS INSTAC,AtlantOS,Fixed Moorings","Water Temperature,Water conductivity/ BioGeoChemical,Water salinity ","IFREMER - Institut Français de Recherche pour l'Exploitation de la Mer - France",638547,"http://www.emodnet-physics.eu/map/spi.aspx?id=638547","France",-1.3769,46.2781
"41","EP_PLATFORMS_TEMP","CMEMS INSTAC,AtlantOS,Fixed Moorings","Water Temperature,Water conductivity/ BioGeoChemical,Water salinity ","IFREMER - Institut Français de Recherche pour l'Exploitation de la Mer - France",25851,"http://www.emodnet-physics.eu/map/spi.aspx?id=25851","France",-1.3373,46.0373
"42","EP_PLATFORMS_TEMP","CMEMS INSTAC,AtlantOS,Drifters","Water Temperature,Atmospheric,Water salinity ","Not Defined",7385,"http://www.emodnet-physics.eu/map/spi.aspx?id=7385","Other",-1.636,46.215
"43","EP_PLATFORMS_TEMP","CMEMS INSTAC,AtlantOS,VOS/SOOP","Water Temperature,Water salinity ","Shom - France",360765,"http://www.emodnet-physics.eu/map/spi.aspx?id=360765","France",-2.00717,45.8777
"44","EP_PLATFORMS_TEMP","CMEMS INSTAC,AtlantOS,VOS/SOOP","Water Temperature,Water salinity ","Shom - France",360766,"http://www.emodnet-physics.eu/map/spi.aspx?id=360766","France",-1.68667,46.0023
"45","EP_PLATFORMS_TEMP","CMEMS INSTAC,AtlantOS,VOS/SOOP","Water Temperature,Water salinity ","Shom - France",360767,"http://www.emodnet-physics.eu/map/spi.aspx?id=360767","France",-1.44683,45.7888
