FID,changerate,geom,id
coastal_migration_satellite_0_40k.114,-29.14127529,POINT (45.8096812228 -1.1370610284),114
coastal_migration_satellite_0_40k.115,-9.38652503,POINT (45.8066374584 -1.1360086742),115
coastal_migration_satellite_0_40k.116,-9.75929299,POINT (45.8035935276 -1.1349563199000001),116
coastal_migration_satellite_0_40k.117,-5.63117737,POINT (45.8006228252 -1.1335698594),117
coastal_migration_satellite_0_40k.118,-2.31194425,POINT (45.7977081333 -1.1319279443),118
coastal_migration_satellite_0_40k.119,-3.19116919,POINT (45.7949875958 -1.1297441014),119
coastal_migration_satellite_0_40k.120,-1.80834484,POINT (45.7926541528 -1.1267626743),120
coastal_migration_satellite_0_40k.121,-1.16131624,POINT (45.7828498244 -1.1264204513),121
coastal_migration_satellite_0_40k.122,1.82285073,POINT (45.7852186857 -1.1293590731),122
coastal_migration_satellite_0_40k.123,2.8340772,POINT (45.7875874463 -1.132297695),123
coastal_migration_satellite_0_40k.124,2.57650246,POINT (45.7899561063 -1.1352363168),124
coastal_migration_satellite_0_40k.125,2.11451695,POINT (45.7923246656 -1.1381749386),125
coastal_migration_satellite_0_40k.126,7.14299487,POINT (45.7946931243 -1.1411135604),126
coastal_migration_satellite_0_40k.127,-1.05978851,POINT (45.7968890935 -1.1443091116),127
coastal_migration_satellite_0_40k.128,-5.65817702,POINT (45.7984851037 -1.1481514019),128
coastal_migration_satellite_0_40k.129,-3.50452971,POINT (45.7993086763 -1.152456645),129
coastal_migration_satellite_0_40k.130,-0.6765752,POINT (45.7993737189 -1.1569240726),130
coastal_migration_satellite_0_40k.131,2.33295335,POINT (45.7988434727 -1.1613358686),131
coastal_migration_satellite_0_40k.132,-1.22613875,POINT (45.7979118961 -1.1656151835),132
coastal_migration_satellite_0_40k.133,-9.76079158,POINT (45.7967150276 -1.1697609389),133
coastal_migration_satellite_0_40k.134,-4.49395814,POINT (45.7953036053 -1.1737704499000001),134
coastal_migration_satellite_0_40k.135,-3.17516866,POINT (45.7938921473 -1.177779961),135
coastal_migration_satellite_0_40k.136,-4.60032517,POINT (45.7924806536 -1.181789472),136
coastal_migration_satellite_0_40k.137,-10.13137062,POINT (45.7913957033 -1.1859964552),137
coastal_migration_satellite_0_40k.138,-8.34127352,POINT (45.7908911011 -1.1903681153),138
coastal_migration_satellite_0_40k.139,-7.02884995,POINT (45.7912895766 -1.1947770654),139
coastal_migration_satellite_0_40k.140,11.24612678,POINT (45.7921698037 -1.19908759),140
coastal_migration_satellite_0_40k.141,-4.65594708,POINT (45.7930500169 -1.2033981145000001),141
coastal_migration_satellite_0_40k.142,24.41136264,POINT (45.793186891 -1.2078734826),142
coastal_migration_satellite_0_40k.143,-2.10714698,POINT (45.7925728197 -1.2122444369),143
coastal_migration_satellite_0_40k.144,-8.0648274,POINT (45.7914361799 -1.2164297567),144
coastal_migration_satellite_0_40k.145,-8.52245364,POINT (45.7902995169 -1.2206150765000001),145
coastal_migration_satellite_0_40k.146,-0.96138797,POINT (45.7890253358 -1.2247102351999999),146
coastal_migration_satellite_0_40k.147,-1.95741285,POINT (45.7875619675 -1.2286814058),147
coastal_migration_satellite_0_40k.148,-23.05147239,POINT (45.7860985608 -1.2326525763),148
coastal_migration_satellite_0_40k.149,-27.29768886,POINT (45.7843274043 -1.2363357707),149
