"","type","Migration","name","x","y"
"1","tno:coastal_migration_satellite_0_40k",-29.14127529,114,-1.1370610284,45.8096812228
"2","tno:coastal_migration_satellite_0_40k",-9.38652503,115,-1.1360086742,45.8066374584
"3","tno:coastal_migration_satellite_0_40k",-9.75929299,116,-1.1349563199,45.8035935276
"4","tno:coastal_migration_satellite_0_40k",-5.63117737,117,-1.1335698594,45.8006228252
"5","tno:coastal_migration_satellite_0_40k",-2.31194425,118,-1.1319279443,45.7977081333
"6","tno:coastal_migration_satellite_0_40k",-3.19116919,119,-1.1297441014,45.7949875958
"7","tno:coastal_migration_satellite_0_40k",-1.80834484,120,-1.1267626743,45.7926541528
"8","tno:coastal_migration_satellite_0_40k",-1.16131624,121,-1.1264204513,45.7828498244
"9","tno:coastal_migration_satellite_0_40k",1.82285073,122,-1.1293590731,45.7852186857
"10","tno:coastal_migration_satellite_0_40k",2.8340772,123,-1.132297695,45.7875874463
"11","tno:coastal_migration_satellite_0_40k",2.57650246,124,-1.1352363168,45.7899561063
"12","tno:coastal_migration_satellite_0_40k",2.11451695,125,-1.1381749386,45.7923246656
"13","tno:coastal_migration_satellite_0_40k",7.14299487,126,-1.1411135604,45.7946931243
"14","tno:coastal_migration_satellite_0_40k",-1.05978851,127,-1.1443091116,45.7968890935
"15","tno:coastal_migration_satellite_0_40k",-5.65817702,128,-1.1481514019,45.7984851037
"16","tno:coastal_migration_satellite_0_40k",-3.50452971,129,-1.152456645,45.7993086763
"17","tno:coastal_migration_satellite_0_40k",-0.6765752,130,-1.1569240726,45.7993737189
"18","tno:coastal_migration_satellite_0_40k",2.33295335,131,-1.1613358686,45.7988434727
"19","tno:coastal_migration_satellite_0_40k",-1.22613875,132,-1.1656151835,45.7979118961
"20","tno:coastal_migration_satellite_0_40k",-9.76079158,133,-1.1697609389,45.7967150276
"21","tno:coastal_migration_satellite_0_40k",-4.49395814,134,-1.1737704499,45.7953036053
"22","tno:coastal_migration_satellite_0_40k",-3.17516866,135,-1.177779961,45.7938921473
"23","tno:coastal_migration_satellite_0_40k",-4.60032517,136,-1.181789472,45.7924806536
"24","tno:coastal_migration_satellite_0_40k",-10.13137062,137,-1.1859964552,45.7913957033
"25","tno:coastal_migration_satellite_0_40k",-8.34127352,138,-1.1903681153,45.7908911011
