"type","status","purpose","info","name","country","x","y"
"shellfish","Production area","","Oysters","Estuaire du Payre","France",-1.66178199999996,46.430936
"shellfish","Production area","","Mussels, Oysters","Pertuis Breton","France",-1.31915999999995,46.288122
"shellfish","Production area","","Oysters","Ile de Re","France",-1.46198299999998,46.1822080000001
"shellfish","Production area","","Oysters","Ile d'Oleron","France",-1.31446799999998,45.9626060000001
"shellfish","Production area","","Oysters","Nord Charente (Fouras à La Rochelle)","France",-1.12758599999995,46.0822810000001
"shellfish","Production area","","Oysters","Sud Charente (Port des Barques à la Gironde)","France",-1.13319399999995,45.9186770000001
"shellfish","Production area","","Oysters","Baie de l'Aiguillon Sud","France",-1.16588799999994,46.257687
"dredging","N/A","N/A","Port of Bourcefranc le Chapus","D-FR80","France",-1.179602,45.860072
"dredging","Maintenance dredging","Harbour dredging","Port of Bourcefranc le Chapus","D-FR79","France",-1.179602,45.860072
"dredging","Maintenance dredging","Harbour dredging","Port of Fosse d'Aix (Fouras, Aix et St Denis d'Oleron)","D-FR112","France",-1.198679,46.005463
"dredging","Maintenance dredging","Harbour dredging","Port of Fouras (Port Sud)","D-FR113","France",-1.09505,45.983444
"dredging","Maintenance dredging","Harbour dredging","Port of Fouras (Port Sud)","D-FR114","France",-1.09505,45.983444
"dredging","Maintenance dredging","Harbour dredging","Port of Ile d'Aix (Le Port)","D-FR118","France",-1.174288,46.007817
"dredging","Maintenance dredging","Harbour dredging","Port of Ile d'Aix (Le Port)","D-FR117","France",-1.174288,46.007817
"dredging","Maintenance dredging","Harbour dredging","Port of La Flotte en Ré","D-FR121","France",-1.322877,46.188412
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice","D-FR124","France",-1.16767,46.14538
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice","D-FR123","France",-1.16767,46.14538
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice","D-FR16","France",-1.16767,46.14538
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice","D-FR17","France",-1.16767,46.14538
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice","D-FR18","France",-1.16767,46.14538
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice","D-FR19","France",-1.16767,46.14538
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice","D-FR20","France",-1.16767,46.14538
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice","D-FR224","France",-1.16767,46.14538
"dredging","Maintenance dredging","N/A","Port of La Rochelle Pallice","D-FR258","France",-1.16767,46.14538
"dredging","Capital dredging","N/A","Port of La Rochelle Pallice","D-FR259","France",-1.16767,46.14538
"dredging","Maintenance dredging","N/A","Port of La Rochelle Pallice","D-FR260","France",-1.16767,46.14538
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Avant Port - Quai céréalier)","D-FR125","France",-1.229984,46.157485
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Avant Port - Quai céréalier)","D-FR126","France",-1.229984,46.157485
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Bassin à flot)","D-FR127","France",-1.214986,46.15835
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Bassin des Chalutiers)","D-FR128","France",-1.151757,46.153298
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Chef de Baie)","D-FR129","France",-1.229312,46.15179
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Chef de Baie)","D-FR130","France",-1.229312,46.15179
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Le Chenal)","D-FR131","France",-1.158021,46.153456
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Les Minimes Bout Blanc)","D-FR132","France",-1.164069,46.146877
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Les Minimes Lazaret)","D-FR133","France",-1.169913,46.144325
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Les Minimes Maurillac)","D-FR134","France",-1.163825,46.14385
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Les Minimes)","D-FR135","France",-1.167366,46.144624
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Môle d'escale)","D-FR136","France",-1.241618,46.1617
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Môle d'escale)","D-FR137","France",-1.241618,46.1617
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Nouveau Port de pêche)","D-FR138","France",-1.222853,46.148391
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Port de service)","D-FR139","France",-1.224121,46.15941
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (port de service)","D-FR140","France",-1.224121,46.15941
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Port Neuf)","D-FR141","France",-1.186414,46.152758
"dredging","Maintenance dredging","Harbour dredging","Port of La Rochelle Pallice (Tour Richelieu, le chenal)","D-FR142","France",-1.172024,46.148701
"dredging","Maintenance dredging","Harbour dredging","Port of La Tremblade (Chenal de l'Atelier)","D-FR143","France",-1.123526,45.779755
"dredging","Maintenance dredging","Harbour dredging","Port of Le Château d'Oléron (Avant Port)","D-FR146","France",-1.189251,45.88262
"dredging","Maintenance dredging","Harbour dredging","Port of Le Château d'Oléron (Avant Port)","D-FR145","France",-1.189251,45.88262
"dredging","Maintenance dredging","Harbour dredging","Port of Le Château d'Oléron (Chenal du château)","D-FR147","France",-1.193861,45.88357
"dredging","Maintenance dredging","Harbour dredging","Port of Saint Martin de Ré (Avant Port)","D-FR184","France",-1.365725,46.207574
"dredging","Maintenance dredging","Harbour dredging","Port of Saint Martin de Ré (Avant Port)","D-FR185","France",-1.365725,46.207574
"dredging","Maintenance dredging","Harbour dredging","Port of St Denis d'Oléron (Plaisance)","D-FR188","France",-1.370276,46.036664
"dredging","Maintenance dredging","N/A","Port of St Denis d'Oléron (Plaisance)","D-FR277","France",-1.370276,46.036664
"dredging","Maintenance dredging","N/A","Ars-En-Ré","D-FR281","France",-1.505685,46.215055
"dredging","Maintenance dredging","N/A","Jard-Sur-Mer","D-FR296","France",-1.580212,46.407411
"dredging","Maintenance dredging","N/A","Jard-Sur-Mer","D-FR297","France",-1.580212,46.407411
"dredging","Maintenance dredging","N/A","L’Aiguillon-sur-Mer","D-FR298","France",-1.311371,46.331636
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron B","France",-1.56963299999995,46.0873
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron B","France",-1.56963299999995,46.0873
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron B","France",-1.56963299999995,46.0873
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron B","France",-1.56963299999995,46.0873
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron B","France",-1.56963299999995,46.0873
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron B","France",-1.56963299999995,46.0873
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron B","France",-1.56963299999995,46.0873
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron B","France",-1.56963299999995,46.0873
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron C","France",-1.59381699999994,46.0866
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron C","France",-1.59381699999994,46.0866
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron C","France",-1.59381699999994,46.0866
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron C","France",-1.59381699999994,46.0866
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron C","France",-1.59381699999994,46.0866
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron C","France",-1.59381699999994,46.0866
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron C","France",-1.59381699999994,46.0866
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron C","France",-1.59381699999994,46.0866
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron C","France",-1.59381699999994,46.0866
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron C","France",-1.59381699999994,46.0866
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron C","France",-1.59381699999994,46.0866
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron C","France",-1.59381699999994,46.0866
"aggregates","Application for a mining permit renewal","Commercial","Marine sediment extraction","Chassiron C","France",-1.59381699999994,46.0866
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron D","France",-1.57311699999997,46.0954
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron D","France",-1.57311699999997,46.0954
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron D","France",-1.57311699999997,46.0954
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron D","France",-1.57311699999997,46.0954
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron D","France",-1.57311699999997,46.0954
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron D","France",-1.57311699999997,46.0954
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron D","France",-1.57311699999997,46.0954
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron D","France",-1.57311699999997,46.0954
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron D","France",-1.57311699999997,46.0954
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron E","France",-1.56829999999997,46.0794670000001
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron E","France",-1.56829999999997,46.0794670000001
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron E","France",-1.56829999999997,46.0794670000001
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron E","France",-1.56829999999997,46.0794670000001
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Chassiron E","France",-1.56829999999997,46.0794670000001
"aggregates","Mining license - Extraction","Commercial","Marine sediment extraction","Payré 'Olo sollicité'","France",-1.74709999999993,46.3716830000001
"aggregates","End of extraction","Commercial","Marine sediment extraction","Sables d'Olonne","France",-1.74699999999996,46.3716830000001
"aggregates","End of extraction","Commercial","Marine sediment extraction","Sables d'Olonne","France",-1.74699999999996,46.3716830000001
"aggregates","End of extraction","Commercial","Marine sediment extraction","Sables d'Olonne","France",-1.74699999999996,46.3716830000001
"aggregates","End of extraction","Commercial","Marine sediment extraction","Sables d'Olonne","France",-1.74699999999996,46.3716830000001
"aggregates","End of extraction","Commercial","Marine sediment extraction","Sables d'Olonne","France",-1.74699999999996,46.3716830000001
"aggregates","End of extraction","Commercial","Marine sediment extraction","Sables d'Olonne","France",-1.74699999999996,46.3716830000001
"aggregates","End of extraction","Commercial","Marine sediment extraction","Sables d'Olonne","France",-1.74699999999996,46.3716830000001
"aggregates","End of extraction","Commercial","Marine sediment extraction","Sables d'Olonne","France",-1.74699999999996,46.3716830000001
"windfarms","Planned",NA,"","Oléron","France",-1.75000000020788,45.900000000352
"dredgespoil","","","F/01704b","","France",-1.60160799218927,46.3068940168506
"dredgespoil","","","F/01701a","","France",-1.24441900480938,46.1434350091993
"dredgespoil","","","F/01706","","France",-1.15966301094733,46.1373810219702
"dredgespoil","","","F/01715","","France",-1.35339201229563,46.046570004947
"dredgespoil","","","F/01702","","France",-1.18387898863942,46.028408014484
"dredgespoil","","","F/01714b","","France",-1.35944599952468,45.8831109972958
"dredgespoil","","","F/01715","","France",-1.35339201229563,46.046570004947
"dredgespoil","","","F/01706","","France",-1.15966301094733,46.1373810219702
"dredgespoil","","","F/01701b","","France",-1.21805899296801,46.1346910228251
"dredgespoil","","","F/01714a","","France",-1.53574299723416,46.1385190221649
"dredgespoil","","","F/01700","","France",-1.49364001150145,46.2150690237266
"dredgespoil","","","F/08511","","France",-1.66587900416764,46.4255819956294
"dredgespoil","","","F/01702","Fosse d'Aix (Fouras, Aix et St Denis d'Oleron)","France",-1.18407998824393,45.9924999890745
"dredgespoil","","","F/01705","Fosse de Maumusson (Bourcefranc Le Chapus, Le Chateau d'Oleron, La Tremblade Chenal de l'Atelier, St Trojan)","France",-1.23499999356435,45.7933000000658
"dredgespoil","","","F/01709","Coureau de la Pallice (Rivedoux, Nieul/L'Houmeau)","France",-1.24666999894863,46.1850000008581
"dredgespoil","","","F/01711a","Plage du Douhet St Georges d'Oleron 1 (Port du Douhet St Georges d'Oleron)","France",-1.31832999810623,45.9999999936444
"dredgespoil","","","F/01711b","Plage du Douhet St Georges d'Oleron 2  (Port du Douhet St Georges d'Oleron)","France",-1.31133000343291,45.9990000026271
"dredgespoil","","","F/01712a","Pointe de Boyardville peche(Port de Boyardville St Georges d'Oleron)","France",-1.22833000081867,45.9732999946409
"dredgespoil","","","F/01712b","Pointe de Boyardville plaisance (Port de Boyardville St Georges d'Oleron)","France",-1.23082999275002,45.971799993727
"dredgespoil","","","F/01709","Coureau de la Pallice (Rivedoux, Nieul/L'Houmeau)","France",-1.24666999894863,46.1850000008581
"dredgespoil","","","F/01702","Fosse d'Aix (Fouras, Aix et St Denis d'Oleron)","France",-1.18407998824393,45.9924999890745
"dredgespoil","","","F/01711b","Plage du Douhet St Georges d'Oleron 2  (Port du Douhet St Georges d'Oleron)","France",-1.31133000343291,45.9990000026271
"munitions","","","Conventional","","",-1.22999999960024,46.0999999997003
"munitions","","","Conventional","","",-1.12999999980008,46.0200000003998
